,ddc,주류(한글),강목(한글),요목(한글),세목(한글)
26,003.3,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,컴퓨터 모델링 및 시뮬레이션
27,003.5,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,통신 및 제어 이론
28,003.7,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,시스템의 종류
29,003.8,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,시간과 관련하여 구별되는 시스템
30,004-006,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템","컴퓨터 과학; 소프트웨어 개발, 소프트웨어, 데이터; 특별한 컴퓨터 방법","컴퓨터 과학; 소프트웨어 개발, 소프트웨어, 데이터; 특별한 컴퓨터 방법"
31,004,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템","컴퓨터 과학; 소프트웨어 개발, 소프트웨어, 데이터; 특별한 컴퓨터 방법",컴퓨터 과학
32,005,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템","컴퓨터 과학; 소프트웨어 개발, 소프트웨어, 데이터; 특별한 컴퓨터 방법","*소프트웨어 개발, 소프트웨어, 데이터, 보안"
33,006,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템","컴퓨터 과학; 소프트웨어 개발, 소프트웨어, 데이터; 특별한 컴퓨터 방법",*특별한 컴퓨터 방법
34,010,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,서지,서지
35,010[.28],"컴퓨터 과학, 정보 및 일반 작업",참고문헌,서지,"보조 기술 및 절차 기구, 장비, 재료"
36,010.4,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,서지,참고문헌의 특별 주제
37,010.7,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,서지,"교육, 연구, 관련 주제"
38,010.92,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,서지,참고문헌 작가
39,011,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,참고문헌 및 카탈로그
40,011.001,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,철학과 이론
41,011.002,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,잡록
42,011.003-011.007,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,표준 세분
43,011.008,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,사람들의 그룹
44,011.009,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,"역사, 지리적 처리, 전기"
45,011.02,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,*참고문헌 및 참고문헌 목록
46,011.03,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,*무료 자료의 참고문헌 및 카탈로그
47,011.09,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,특정 역사적 시기에 출판된 일반 참고문헌 및 작품 목록
48,011.1-011.8,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,참고문헌 및 카탈로그,일반 참고문헌 및 카탈로그
49,012-017,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,"개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그","개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그"
50,012,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,"개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그",개인의 참고문헌 및 카탈로그
51,[013],"컴퓨터 과학, 정보 및 일반 작업",참고문헌,"개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그",[할당되지 않음]
52,014,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,"개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그",익명 및 가명 작품의 참고문헌 및 카탈로그
53,015,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,"개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그",특정 장소의 작품에 대한 참고문헌 및 카탈로그
54,016,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,"개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그",특정 주제에 관한 참고문헌 및 작품 카탈로그
55,017,"컴퓨터 과학, 정보 및 일반 작업",참고문헌,"개인, 익명 및 가명 저작물, 특정 장소의 저작물, 특정 주제에 관한 저작물, 특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 저작물의 서지 및 카탈로그",특정 컬렉션에 소장되어 있거나 판매용으로 제공되는 일반 참고문헌 및 작품 카탈로그
56,020,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,도서관 및 정보 과학
57,020.2854678,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,인터넷--도서관
58,020.3,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,도서관학-사전
59,020[.601],"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,국제기구
60,020[.603-020.609],"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,"국가, 주, 지방, 지방 기관"
61,020.62,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,상설 조직
62,020[.68],"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,관리
63,020.711,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,도서관학-고등교육
64,020.7155,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,현직 교육--도서관
65,020.72,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,"도서관 과학 - 연구, . . ."
66,020.8827,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,기독교 사서
67,020.8996073,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,아프리카계 미국인 사서
68,020.9,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 정보 과학,"역사, 지리적 처리, 전기"
69,021,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관과 기록관의 관계,도서관과 기록관의 관계
70,021.2,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관과 기록관의 관계,지역사회와의 관계
71,021.3,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관과 기록관의 관계,다른 교육 기관과의 관계
72,021.6,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관과 기록관의 관계,협력과 네트워크
73,021.7,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관과 기록관의 관계,"도서관, 기록관, 정보센터 홍보"
74,021.8,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관과 기록관의 관계,정부와의 관계
75,022,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,물리적 플랜트 관리,물리적 플랜트 관리
76,022.1,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,물리적 플랜트 관리,위치 및 사이트
77,022.3,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,물리적 플랜트 관리,건물
78,022.4,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,물리적 플랜트 관리,스택 및 선반
79,022.7,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,물리적 플랜트 관리,도서관 건물 조명
80,022.8,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,물리적 플랜트 관리,"난방, 환기, 에어컨"
81,022.9,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,물리적 플랜트 관리,"장비, 가구, 비품"
82,023,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,인사관리(인적자원관리),인사관리(인적자원관리)
83,023.01,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,인사관리(인적자원관리),인사관리--도서관--철학
84,023.2-023.4,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,인사관리(인적자원관리),직위 유형
85,023.7,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,인사관리(인적자원관리),업무 설명서
86,023.8,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,인사관리(인적자원관리),현직교육 관리
87,023.9,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,인사관리(인적자원관리),인사관리의 요소
88,025,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록 보관소 운영,도서관 및 기록관 운영
89,025.001-025.009,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,표준 세분
90,025.02,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,기술 서비스
91,025.04,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,정보 저장 및 검색 시스템
92,025.06,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,특정 주제에 대한 정보 저장 및 검색 시스템
93,025.1,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,관리
94,025.2,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,인수 및 컬렉션 개발
95,025.3,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,서지 분석 및 제어
96,025.4,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,주제 분석 및 제어
97,025.5,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,사용자를 위한 서비스 및 프로그램
98,025.6,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,순환 서비스
99,025.7,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,보관 및 사용을 위한 물리적 준비
100,025.8,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,도서관 및 기록관 운영,컬렉션의 유지 관리 및 보존
101,026-027,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,특정 종류의 기관,특정 종류의 기관
102,026,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,특정 종류의 기관,특정 주제를 다루는 도서관과 기록 보관소
103,027,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,특정 종류의 기관,일반 도서관 및 기록 보관소
104,028,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 열람 및 이용,기타 정보매체의 열람 및 이용
105,028.082,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 읽기 및 활용,여성-독서-도서관학
106,028[.083],"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 열람 및 이용,젊은이
107,028.1,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 열람 및 이용,리뷰
108,028.5,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 열람 및 이용,청소년의 기타 정보매체 열람 및 이용
109,028.7,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 열람 및 이용,정보 출처로 도서 및 기타 정보 매체 사용
110,028.8,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 열람 및 이용,책과 기타 정보매체를 오락과 자기계발의 원천으로 활용
111,028.9,"컴퓨터 과학, 정보 및 일반 작업",도서관 및 정보 과학,기타 정보매체의 읽기 및 활용,관심분야와 습관 읽기
112,030,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,일반 백과사전 작품,일반 백과사전 작품
113,030.9,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,일반 백과사전 작품,"역사, 지리적 처리, 전기"
114,031-039,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,특정 언어 및 어족의 일반 백과사전 저작물
115,031,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,*미국 영어로 된 일반 백과사전 작품
116,032,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,*영어로 된 일반 백과사전 작품
117,033,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,다른 게르만 언어로 된 일반 백과사전 작품
118,034,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,"프랑스어, 옥시탄어, 카탈로니아어로 된 일반 백과사전 작품"
119,035,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,"이탈리아어, 달마티아어, 루마니아어, 라에티어어, 사르디니아어, 코르시카어로 된 일반 백과사전 작품"
120,036,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,"스페인어, 포르투갈어, 갈리시아어로 된 일반 백과사전 작품"
121,037,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,슬라브어로 된 일반 백과사전 작품
122,038,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실의 책,특정 언어 및 어족의 일반 백과사전 저작물,스칸디나비아 언어로 된 일반 백과사전 작품
123,039,"컴퓨터 과학, 정보 및 일반 작업",백과사전 및 사실이 담긴 책,특정 언어 및 어족의 일반 백과사전 저작물,다른 언어로 된 일반 백과사전 작품
124,050,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",일반 연재물,일반 연재물
125,050.6,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",일반 연재물,연재물--조직
126,050.75,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",일반 연재물,연재물--수집
127,050.9,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",일반 연재물,"역사, 지리적 처리, 전기"
128,051-059,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어 계열의 일반 연재물,특정 언어 및 언어군으로 된 일반 연속 간행물
129,051,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,미국 영어로 된 일반 연속 출판물
130,052,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,영어로 된 일반 연속 간행물
131,053,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널 및 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,기타 게르만 언어로 된 일반 연속 출판물
132,054,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,"프랑스어, 옥시탄어, 카탈로니아어로 된 일반 연재물"
133,055,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,"이탈리아어, 달마티아어, 루마니아어, 레티시아어, 사르디니아어, 코르시카어로 된 일반 연재물"
134,056,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,"스페인어, 포르투갈어, 갈리시아어로 된 일반 연재물"
135,057,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,슬라브어 일반 연재물
136,058,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,스칸디나비아 언어로 된 일반 연속 간행물
137,059,"컴퓨터 과학, 정보 및 일반 작업","잡지, 저널, 연재물",특정 언어 및 언어군으로 된 일반 연속 간행물,다른 언어로 된 일반 연속 간행물
138,060,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반 조직 및 박물관학,일반 조직 및 박물관학
139,060.4,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반 조직 및 박물관학,일반조직의 특별주제
140,060.9,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반 조직 및 박물관학,역사와 전기
141,061-068,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,일반단체
142,061,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반 조직,북미 일반 조직
143,062,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,영국 제도의 일반 조직
144,063,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,독일 및 인근 중부 유럽 국가의 일반 조직
145,064,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,프랑스와 모나코의 일반 조직
146,065,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,"이탈리아, 산마리노, 바티칸 시국, 몰타의 일반 조직"
147,066,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,"스페인, 안도라, 지브롤터, 포르투갈의 일반 조직"
148,067,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,러시아 및 인근 동유럽 국가의 일반 조직
149,068,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",일반단체,다른 지리적 지역의 일반 조직
150,069,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),박물관학(박물관과학)
151,069.014,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(Museology),박물관-용어
152,069.0288,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),유지 보수 및 수리
153,069.068,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),관리
154,069.07,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),"교육, 연구, 관련 주제"
155,069.09,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),"역사, 지리적 처리, 전기"
156,069.1,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),고객을 위한 박물관 서비스
157,069.2,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),물리적 플랜트의 관리 및 이용
158,069.3,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),"장비, 가구, 비품"
159,069.4,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(Museology),박물관 유물 수집 및 준비
160,069.5,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),박물관 유물 컬렉션 및 전시
161,069.6,"컴퓨터 과학, 정보 및 일반 작업","협회, 조직 및 박물관",박물관학(박물관과학),"인사관리, 이용자 규정, 타 기관과의 관계"
162,070,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판"
163,070.01-070.08,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판",표준 세분
164,070.09,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판","역사, 지리적 처리, 전기"
165,070.1,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어"
166,070.4,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판",저널리즘
167,070.5,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판",출판
168,070.9,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판","다큐멘터리 미디어, 교육 미디어, 뉴스 미디어; 저널리즘; 출판",저널리즘과 신문의 역사와 전기
169,071-079,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,저널리즘과 신문의 지리적 취급
170,071,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,*북미 저널리즘과 신문
171,072,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,*영국 제도의 저널리즘 및 신문
172,073,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,*독일 및 인근 중앙 유럽 국가의 저널리즘 및 신문
173,074,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,*프랑스와 모나코의 저널리즘 및 신문
174,075,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,"*이탈리아, 산마리노, 바티칸 시국, 몰타의 저널리즘 및 신문"
175,076,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,"*스페인, 안도라, 지브롤터, 포르투갈의 저널리즘 및 신문"
176,077,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,*러시아 및 인근 동유럽 국가의 저널리즘 및 신문
177,078,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,*스칸디나비아와 핀란드의 저널리즘과 신문
178,079,"컴퓨터 과학, 정보 및 일반 작업","뉴스 미디어, 저널리즘 및 출판",저널리즘과 신문의 지리적 취급,*기타 지역의 저널리즘 및 신문
179,080,"컴퓨터 과학, 정보 및 일반 작업",일반 컬렉션,일반 컬렉션,일반 컬렉션
180,080.9,"컴퓨터 과학, 정보 및 일반 작업",일반 컬렉션,일반 컬렉션,"역사, 지리적 처리, 전기"
181,081-089,"컴퓨터 과학, 정보 및 일반 작업",일반 컬렉션,특정 언어 및 언어 계열의 일반 컬렉션,특정 언어 및 언어 계열의 일반 컬렉션
182,081,"컴퓨터 과학, 정보 및 일반 작업",일반 컬렉션,특정 언어 및 언어 계열의 일반 컬렉션,미국 영어의 일반 컬렉션
