,주류,강목,요목번호,요목명,세목번호,세목명
57,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.2854678,Internet--libraries
58,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.3,Library science--dictionaries
59,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020[.601],International organizations
60,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020[.603-020.609],"National, state, provincial, local organizations"
61,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.62,Permanent organizations
62,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020[.68],Management
63,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.711,Library science--higher education
64,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.7155,In-service training--libraries
65,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.72,"Library science--research, . . ."
66,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.8827,Christian librarians
67,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.8996073,African American librarians
68,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020.9,"History, geographic treatment, biography"
69,"Computer science, information & general works",Library & information sciences,021,Relationships of libraries and archives,021,Relationships of libraries and archives
70,"Computer science, information & general works",Library & information sciences,021,Relationships of libraries and archives,021.2,Relationships with the community
71,"Computer science, information & general works",Library & information sciences,021,Relationships of libraries and archives,021.3,Relationships with other educational institutions
72,"Computer science, information & general works",Library & information sciences,021,Relationships of libraries and archives,021.6,Cooperation and networks
73,"Computer science, information & general works",Library & information sciences,021,Relationships of libraries and archives,021.7,"Promotion of libraries, archives, information centers"
74,"Computer science, information & general works",Library & information sciences,021,Relationships of libraries and archives,021.8,Relationships with government
75,"Computer science, information & general works",Library & information sciences,022,Administration of physical plant,022,Administration of physical plant
76,"Computer science, information & general works",Library & information sciences,022,Administration of physical plant,022.1,Location and site
77,"Computer science, information & general works",Library & information sciences,022,Administration of physical plant,022.3,Buildings
78,"Computer science, information & general works",Library & information sciences,022,Administration of physical plant,022.4,Stacks and shelving
79,"Computer science, information & general works",Library & information sciences,022,Administration of physical plant,022.7,Lighting for library buildings
80,"Computer science, information & general works",Library & information sciences,022,Administration of physical plant,022.8,"Heating, ventilation, air conditioning"
81,"Computer science, information & general works",Library & information sciences,022,Administration of physical plant,022.9,"Equipment, furniture, furnishings"
82,"Computer science, information & general works",Library & information sciences,023,Personnel management (Human resource management),023,Personnel management (Human resource management)
83,"Computer science, information & general works",Library & information sciences,023,Personnel management (Human resource management),023.01,Personnel management--libraries--philosophy
84,"Computer science, information & general works",Library & information sciences,023,Personnel management (Human resource management),023.2-023.4,Types of positions
85,"Computer science, information & general works",Library & information sciences,023,Personnel management (Human resource management),023.7,Job description
86,"Computer science, information & general works",Library & information sciences,023,Personnel management (Human resource management),023.8,Management of in-service training
87,"Computer science, information & general works",Library & information sciences,023,Personnel management (Human resource management),023.9,Elements of personnel management
88,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025,Operations of libraries and archives
89,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.001-025.009,Standard subdivisions
90,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.02,Technical services
91,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.04,Information storage and retrieval systems
92,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.06,Information storage and retrieval systems devoted to specific subjects
93,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.1,Administration
94,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.2,Acquisitions and collection development
95,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.3,Bibliographic analysis and control
96,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.4,Subject analysis and control
97,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.5,Services and programs for users
98,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.6,Circulation services
99,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.7,Physical preparation for storage and use
100,"Computer science, information & general works",Library & information sciences,025,Operations of libraries and archives,025.8,Maintenance and preservation of collections
101,"Computer science, information & general works",Library & information sciences,026-027,Specific kinds of institutions,026-027,Specific kinds of institutions
102,"Computer science, information & general works",Library & information sciences,026-027,Specific kinds of institutions,026,Libraries and archives devoted to specific subjects
103,"Computer science, information & general works",Library & information sciences,026-027,Specific kinds of institutions,027,General libraries and archives
104,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028,Reading and use of other information media
105,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028.082,Women--reading--library science
106,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028[.083],Young people
107,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028.1,Reviews
108,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028.5,Reading and use of other information media by young people
109,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028.7,Use of books and other information media as sources of information
110,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028.8,Use of books and other information media as sources of recreation and self-development
111,"Computer science, information & general works",Library & information sciences,028,Reading and use of other information media,028.9,Reading interests and habits
112,"Computer science, information & general works",Encyclopedias & books of facts,030,General encyclopedic works,030,General encyclopedic works
113,"Computer science, information & general works",Encyclopedias & books of facts,030,General encyclopedic works,030.9,"History, geographic treatment, biography"
114,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,031-039,General encyclopedic works in specific languages and language families
115,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,031,*General encyclopedic works in American English
116,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,032,*General encyclopedic works in English
117,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,033,General encyclopedic works in other Germanic languages
118,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,034,"General encyclopedic works in French, Occitan, Catalan"
119,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,035,"General encyclopedic works in Italian, Dalmatian, Romanian, Rhaetian, Sardinian, Corsican"
120,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,036,"General encyclopedic works in Spanish, Portuguese, Galician"
121,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,037,General encyclopedic works in Slavic languages
122,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,038,General encyclopedic works in Scandinavian languages
123,"Computer science, information & general works",Encyclopedias & books of facts,031-039,General encyclopedic works in specific languages and language families,039,General encyclopedic works in other languages
124,"Computer science, information & general works","Magazines, journals & serials",050,General serial publications,050,General serial publications
125,"Computer science, information & general works","Magazines, journals & serials",050,General serial publications,050.6,Serials--organizations
126,"Computer science, information & general works","Magazines, journals & serials",050,General serial publications,050.75,Serials--collecting
127,"Computer science, information & general works","Magazines, journals & serials",050,General serial publications,050.9,"History, geographic treatment, biography"
128,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,051-059,General serial publications in specific languages and language families
129,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,051,General serial publications in American English
130,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,052,General serial publications in English
131,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,053,General serial publications in other Germanic languages
132,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,054,"General serial publications in French, Occitan, Catalan"
133,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,055,"General serial publications in Italian, Dalmatian, Romanian, Rhaetian, Sardinian, Corsican"
134,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,056,"General serial publications in Spanish, Portuguese, Galician"
135,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,057,General serial publications in Slavic languages
136,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,058,General serial publications in Scandinavian languages
137,"Computer science, information & general works","Magazines, journals & serials",051-059,General serial publications in specific languages and language families,059,General serial publications in other languages
138,"Computer science, information & general works","Associations, organizations & museums",060,General organizations and museology,060,General organizations and museology
139,"Computer science, information & general works","Associations, organizations & museums",060,General organizations and museology,060.4,Special topics of general organizations
140,"Computer science, information & general works","Associations, organizations & museums",060,General organizations and museology,060.9,History and biography
141,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,061-068,General organizations
142,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,061,General organizations in North America
143,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,062,General organizations in British Isles
144,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,063,General organizations in Germany and neighboring central European countries
145,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,064,General organizations in France and Monaco
146,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,065,"General organizations in Italy, San Marino, Vatican City, Malta"
147,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,066,"General organizations in Spain, Andorra, Gibraltar, Portugal"
148,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,067,General organizations in Russia and neighboring east European countries
149,"Computer science, information & general works","Associations, organizations & museums",061-068,General organizations,068,General organizations in other geographic areas
150,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069,Museology (Museum science)
151,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.014,Museums--terminology
152,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.0288,Maintenance and repair
153,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.068,Management
154,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.07,"Education, research, related topics"
155,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.09,"History, geographic treatment, biography"
156,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.1,Museum services to patrons
157,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.2,Management and use of physical plant
158,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.3,"Equipment, furniture, furnishings"
159,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.4,Collecting and preparing museum objects
160,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.5,Collections and exhibits of museum objects
161,"Computer science, information & general works","Associations, organizations & museums",069,Museology (Museum science),069.6,"Personnel management, regulations for patrons, relations with other organizations"
162,"Computer science, information & general works","News media, journalism & publishing",070,"Documentary media, educational media, news media; journalism; publishing",070,"Documentary media, educational media, news media; journalism; publishing"
163,"Computer science, information & general works","News media, journalism & publishing",070,"Documentary media, educational media, news media; journalism; publishing",070.01-070.08,Standard subdivisions
164,"Computer science, information & general works","News media, journalism & publishing",070,"Documentary media, educational media, news media; journalism; publishing",070.09,"History, geographic treatment, biography"
165,"Computer science, information & general works","News media, journalism & publishing",070,"Documentary media, educational media, news media; journalism; publishing",070.1,"Documentary media, educational media, news media"
166,"Computer science, information & general works","News media, journalism & publishing",070,"Documentary media, educational media, news media; journalism; publishing",070.4,Journalism
167,"Computer science, information & general works","News media, journalism & publishing",070,"Documentary media, educational media, news media; journalism; publishing",070.5,Publishing
168,"Computer science, information & general works","News media, journalism & publishing",070,"Documentary media, educational media, news media; journalism; publishing",070.9,History and biography of journalism and newspapers
169,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,071-079,Geographic treatment of journalism and newspapers
170,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,071,*Journalism and newspapers in North America
171,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,072,*Journalism and newspapers in British Isles
172,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,073,*Journalism and newspapers in Germany and neighboring central European countries
173,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,074,*Journalism and newspapers in France and Monaco
174,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,075,"*Journalism and newspapers in Italy, San Marino, Vatican City, Malta"
175,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,076,"*Journalism and newspapers in Spain, Andorra, Gibraltar, Portugal"
176,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,077,*Journalism and newspapers in Russia and neighboring east European countries
177,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,078,*Journalism and newspapers in Scandinavia and Finland
178,"Computer science, information & general works","News media, journalism & publishing",071-079,Geographic treatment of journalism and newspapers,079,*Journalism and newspapers in other geographic areas
179,"Computer science, information & general works",General collections,080,General collections,080,General collections
180,"Computer science, information & general works",General collections,080,General collections,080.9,"History, geographic treatment, biography"
181,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,081-089,General collections in specific languages and language families
182,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,081,General collections in American English
183,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,082,General collections in English
184,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,083,General collections in other Germanic languages
185,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,084,"General collections in French, Occitan, Catalan"
186,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,085,"General collections in Italian, Dalmatian, Romanian, Rhaetian, Sardinian, Corsican"
187,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,086,"General collections in Spanish, Portuguese, Galician"
188,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,087,General collections in Slavic languages
189,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,088,General collections in Scandinavian languages
190,"Computer science, information & general works",General collections,081-089,General collections in specific languages and language families,089,General collections in other languages
191,"Computer science, information & general works",Manuscripts & rare books,090,"Manuscripts, rare books, other rare printed materials",090,"Manuscripts, rare books, other rare printed materials"
192,"Computer science, information & general works",Manuscripts & rare books,090,"Manuscripts, rare books, other rare printed materials",090.288,Rare books--maintenance
193,"Computer science, information & general works",Manuscripts & rare books,090,"Manuscripts, rare books, other rare printed materials",090.75,Rare books--collecting
194,"Computer science, information & general works",Manuscripts & rare books,091,Manuscripts,091,Manuscripts
195,"Computer science, information & general works",Manuscripts & rare books,092,Block books,092,Block books
196,"Computer science, information & general works",Manuscripts & rare books,093,Incunabula,093,Incunabula
197,"Computer science, information & general works",Manuscripts & rare books,094,Printed books,094,Printed books
198,"Computer science, information & general works",Manuscripts & rare books,094,Printed books,094.2,Early printed books
199,"Computer science, information & general works",Manuscripts & rare books,094,Printed books,094.4,Special editions
200,"Computer science, information & general works",Manuscripts & rare books,095,Books notable for bindings,095,Books notable for bindings
201,"Computer science, information & general works",Manuscripts & rare books,096,Books notable for illustrations and materials,096,Books notable for illustrations and materials
202,"Computer science, information & general works",Manuscripts & rare books,096,Books notable for illustrations and materials,096.1,Books notable for illustrations
203,"Computer science, information & general works",Manuscripts & rare books,096,Books notable for illustrations and materials,096.2,Books notable for materials
204,"Computer science, information & general works",Manuscripts & rare books,097,Books notable for ownership or origin,097,Books notable for ownership or origin
205,"Computer science, information & general works",Manuscripts & rare books,098,"Prohibited works, forgeries, hoaxes",098,"Prohibited works, forgeries, hoaxes"
206,"Computer science, information & general works",Manuscripts & rare books,098,"Prohibited works, forgeries, hoaxes",098.1,Prohibited works
207,"Computer science, information & general works",Manuscripts & rare books,098,"Prohibited works, forgeries, hoaxes",098.3,Forgeries and hoaxes
208,"Computer science, information & general works",Manuscripts & rare books,099,Books notable for format,099,Books notable for format
209,Philosophy & psychology,,100,Philosophy & psychology,100,"Philosophy, parapsychology and occultism, psychology"
210,Philosophy & psychology,Philosophy,100,"Philosophy, parapsychology and occultism, psychology",100,"Philosophy, parapsychology and occultism, psychology"
211,Philosophy & psychology,Philosophy,101,Theory of philosophy,101,Theory of philosophy
212,Philosophy & psychology,Philosophy,102,Miscellany of philosophy,102,Miscellany of philosophy
213,Philosophy & psychology,Philosophy,103,"Dictionaries, encyclopedias, concordances of philosophy",103,"Dictionaries, encyclopedias, concordances of philosophy"
214,Philosophy & psychology,Philosophy,105,Serial publications of philosophy,105,Serial publications of philosophy
215,Philosophy & psychology,Philosophy,106,Organizations and management of philosophy,106,Organizations and management of philosophy
216,Philosophy & psychology,Philosophy,107,"Education, research, related topics of philosophy",107,"Education, research, related topics of philosophy"
217,Philosophy & psychology,Philosophy,108,Groups of people,108,Groups of people
218,Philosophy & psychology,Philosophy,108,Groups of people,108.2,Philosophy--women
219,Philosophy & psychology,Philosophy,109,History and collected biography,109,History and collected biography
220,Philosophy & psychology,Philosophy,109,History and collected biography,109.2,Collected biography
221,Philosophy & psychology,Metaphysics,110,Metaphysics,110,Metaphysics
222,Philosophy & psychology,Metaphysics,110,Metaphysics,110.92,Metaphysics--biography
223,Philosophy & psychology,Metaphysics,111,Ontology,111,Ontology
224,Philosophy & psychology,Metaphysics,111,Ontology,111.1,"Existence, essence, substance, accidents"
225,Philosophy & psychology,Metaphysics,111,Ontology,111.2,Universals
226,Philosophy & psychology,Metaphysics,111,Ontology,111.5,"Nonbeing, nothingness"
227,Philosophy & psychology,Metaphysics,111,Ontology,111.6,Finite and infinite
228,Philosophy & psychology,Metaphysics,111,Ontology,111.8,Properties of being
229,Philosophy & psychology,Metaphysics,113,Cosmology (Philosophy of nature),113,Cosmology (Philosophy of nature)
230,Philosophy & psychology,Metaphysics,113,Cosmology (Philosophy of nature),113.8,Philosophy of life
231,Philosophy & psychology,Metaphysics,114,Space,114,Space
232,Philosophy & psychology,Metaphysics,115,Time,115,Time
233,Philosophy & psychology,Metaphysics,116,Change,116,Change
234,Philosophy & psychology,Metaphysics,117,Structure,117,Structure
235,Philosophy & psychology,Metaphysics,118,Force and energy,118,Force and energy
236,Philosophy & psychology,Metaphysics,119,Number and quantity,119,Number and quantity
237,Philosophy & psychology,Epistemology,120,"Epistemology, causation, humankind",120,"Epistemology, causation, humankind"
238,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121,Epistemology (Theory of knowledge)
239,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121.2,Possibility and limits of knowledge
240,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121.3,"Origin, sources, means of knowledge"
241,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121.4,Structure of knowledge
242,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121.5,Doubt and denial
243,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121.6,Nature of inquiry
244,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121.7,Faith
245,Philosophy & psychology,Epistemology,121,Epistemology (Theory of knowledge),121.8,Worth and theory of values (Axiology)
246,Philosophy & psychology,Epistemology,122,Causation,122,Causation
247,Philosophy & psychology,Epistemology,122,Causation,122.0724,Causation--philosophy--experimental research
248,Philosophy & psychology,Epistemology,123,Determinism and indeterminism,123,Determinism and indeterminism
249,Philosophy & psychology,Epistemology,123,Determinism and indeterminism,123.3,Chance
250,Philosophy & psychology,Epistemology,123,Determinism and indeterminism,123.5,Freedom
251,Philosophy & psychology,Epistemology,123,Determinism and indeterminism,123.7,Necessity
252,Philosophy & psychology,Epistemology,124,Teleology,124,Teleology
253,Philosophy & psychology,Epistemology,126,The self,126,The self
254,Philosophy & psychology,Epistemology,127,The unconscious and the subconscious,127,The unconscious and the subconscious
255,Philosophy & psychology,Epistemology,128,Humankind,128,Humankind
256,Philosophy & psychology,Epistemology,128,Humankind,128.1,Soul
257,Philosophy & psychology,Epistemology,128,Humankind,128.2,Mind
258,Philosophy & psychology,Epistemology,128,Humankind,128.3,Attributes and faculties
259,Philosophy & psychology,Epistemology,128,Humankind,128.4,Human action and experience
260,Philosophy & psychology,Epistemology,128,Humankind,128.5,Human death
261,Philosophy & psychology,Epistemology,128,Humankind,128.6,Body
262,Philosophy & psychology,Epistemology,129,Origin and destiny of individual souls,129,Origin and destiny of individual souls
263,Philosophy & psychology,Parapsychology & occultism,130,Parapsychology and occultism,130,Parapsychology and occultism
264,Philosophy & psychology,Parapsychology & occultism,130,Parapsychology and occultism,130.112,Forecasting and forecasts
265,Philosophy & psychology,Parapsychology & occultism,130,Parapsychology and occultism,130.3,"Occultism--dictionaries, . . ."
266,Philosophy & psychology,Parapsychology & occultism,130,Parapsychology and occultism,130.92,"Parapsychologists, . . ."
267,Philosophy & psychology,Parapsychology & occultism,131,"Parapsychological and occult methods for achieving well-being, happiness, success",131,"Parapsychological and occult methods for achieving well-being, happiness, success"
268,Philosophy & psychology,Parapsychology & occultism,133,Specific topics in parapsychology and occultism,133,Specific topics in parapsychology and occultism
269,Philosophy & psychology,Parapsychology & occultism,133,Specific topics in parapsychology and occultism,133[.01-133.09],Standard subdivisions
270,Philosophy & psychology,Parapsychology & occultism,133,Specific topics in parapsychology and occultism,133.1,Apparitions
271,Philosophy & psychology,Parapsychology & occultism,133,Specific topics in parapsychology and occultism,133.2,Parapsychological and occult aspects of specific things
